Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,18305,18161,17957,17591,17071,16758
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,991.4,983.6,972.6,952.8,924.6,907.6
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,9204,9132,9024,8817,8517,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,9101,9029,8933,8774,8554,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,39.7,40.4,41.1,42.3,43.8,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,42.4,43.1,43.9,44.9,46,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,41.2,41.9,42.6,43.7,44.9,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,13156,12966,12714,12286,11795,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,71.9,71.4,70.8,69.8,69.1,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,394,397,391,378,334,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,459,429,413,392,396,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,615,605,568,534,494,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,742,706,714,687,628,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,858,838,796,746,698,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,656,641,628,598,544,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,487,490,498,484,471,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,421,424,417,408,387,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,519,493,445,430,425,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,698,668,639,599,551,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,783,762,739,697,674,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,771,789,797,775,752,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,643,658,666,683,714,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,482,501,510,540,555,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,332,353,382,405,404,
