Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,17706,17668,17658,17527,17105,17143
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,1098.6,1096.2,1095.6,1087.4,1061.3,1063.6
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,8584,8576,8576,8519,8325,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,9122,9092,9082,9008,8780,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,43.3,43.3,43.5,44.1,44.2,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,46.3,46.7,47.2,47.8,48.1,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,44.8,45.1,45.5,46.1,46.2,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,11082,10946,10845,10621,10209,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,62.6,62,61.4,60.6,59.7,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,395,404,399,387,368,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,500,475,471,473,500,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,527,538,523,520,514,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,563,557,566,558,535,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,595,590,580,553,516,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,507,512,502,450,423,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,469,452,434,447,414,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,433,456,491,508,512,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,489,459,451,449,458,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,527,523,513,497,493,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,591,578,561,543,515,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,625,614,599,591,556,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,524,528,562,584,590,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,547,542,521,522,512,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,455,466,467,475,446,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,388,402,418,401,380,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,234,251,280,301,320,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,215,229,238,260,273,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,4.6,4.7,4.7,4.5,4.4,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,5.8,5.5,5.5,5.6,6,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,6.1,6.3,6.1,6.1,6.2,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,6.6,6.5,6.6,6.6,6.4,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,6.9,6.9,6.8,6.5,6.2,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,5.9,6,5.9,5.3,5.1,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,5.5,5.3,5.1,5.2,5,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,5,5.3,5.7,6,6.2,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,5.7,5.4,5.3,5.3,5.5,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,6.1,6.1,6,5.8,5.9,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,6.9,6.7,6.5,6.4,6.2,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,7.3,7.2,7,6.9,6.7,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,6.1,6.2,6.6,6.9,7.1,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,6.4,6.3,6.1,6.1,6.2,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,5.3,5.4,5.4,5.6,5.4,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,4.5,4.7,4.9,4.7,4.6,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,2.7,2.9,3.3,3.5,3.8,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,,2.5,2.7,2.8,3.1,3.3,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,,384,372,383,387,385,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,,462,470,458,442,458,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,,472,469,462,477,471,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,,499,489,503,474,473,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,,565,551,504,482,442,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,,518,507,473,424,366,
