Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,4458,4466,4451,4409,4380,4311
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,779.9,781.3,778.7,771.3,766.2,754.2
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,2233,2241,2229,2193,2173,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,2225,2225,2222,2216,2207,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,37.5,37.4,37.3,37.7,38.5,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,38.5,38.6,38.6,39.1,39.9,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,38,38,37.9,38.4,39.2,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,2998,2973,2942,2904,2884,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,67.2,66.6,66.1,65.9,65.8,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,185,176,169,152,147,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,151,161,164,178,181,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,140,142,146,144,149,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,129,128,132,136,135,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,139,149,141,126,113,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,148,143,141,121,96,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,142,147,150,153,155,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,158,153,155,157,159,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,174,169,155,150,143,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,176,175,180,170,167,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,157,151,152,156,156,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,144,150,145,143,155,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,128,125,123,128,133,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,123,117,112,105,101,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,72,84,86,90,93,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,24,28,40,47,54,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,29,25,23,21,25,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,14,18,15,16,11,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,8.3,7.9,7.6,6.9,6.8,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,6.8,7.2,7.4,8.1,8.3,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,6.3,6.3,6.6,6.6,6.9,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,5.8,5.7,5.9,6.2,6.2,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,6.2,6.6,6.3,5.7,5.2,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,6.6,6.4,6.3,5.5,4.4,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,6.4,6.6,6.7,7,7.1,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,7.1,6.8,7,7.2,7.3,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,7.8,7.5,7,6.8,6.6,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,7.9,7.8,8.1,7.8,7.7,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,7,6.7,6.8,7.1,7.2,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,6.4,6.7,6.5,6.5,7.1,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,5.7,5.6,5.5,5.8,6.1,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,5.5,5.2,5,4.8,4.6,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,3.2,3.7,3.9,4.1,4.3,
