Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,19711,19699,19708,19763,19152,19150
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,3944.4,3942,3943.8,3954.8,3832.5,3832.1
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,9383,9387,9394,9412,9203,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,10328,10312,10314,10351,9949,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,35.6,35.7,36,36.4,36.7,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,36.4,36.4,36.5,36.9,37.6,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,36,36.1,36.2,36.7,37.2,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,14009,14009,14024,14040,13743,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,71.1,71.1,71.2,71,71.8,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,601,574,544,522,524,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,541,549,538,504,484,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,477,472,491,526,480,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,360,395,408,412,411,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,679,666,641,594,523,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,931,909,903,879,829,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,990,990,996,1006,1017,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,849,882,895,905,893,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,786,761,734,747,747,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,733,718,709,685,685,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,538,552,570,576,616,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,449,468,481,526,488,
