Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,2706,4275,6019,7880,9532,11555
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,154.5,244,343.6,449.8,544.1,659.6
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,1953,2771,3681,4653,5505,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,753,1504,2338,3227,4027,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,31.3,30.8,30.4,30.3,30.4,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,28.1,28.7,29.2,29.6,30.1,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,30.3,29.9,29.8,30,30.3,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,2293,3445,4684,5951,6980,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,84.7,80.6,77.8,75.5,73.2,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,94,196,314,441,552,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,53,123,203,305,427,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,35,69,108,163,234,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,61,89,120,151,174,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,266,366,474,536,524,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,376,470,576,690,769,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,330,447,577,717,842,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,302,435,576,732,874,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,198,265,334,419,498,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,103,135,172,212,254,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,52,65,80,98,118,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,27,38,58,69,79,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,25,31,34,47,71,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,10,14,24,36,41,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,15,19,20,20,19,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,5,6,3,9,18,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,1,3,8,8,6,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,,,,5,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,4.8,7.1,8.5,9.5,10,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,2.7,4.4,5.5,6.6,7.8,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,1.8,2.5,2.9,3.5,4.3,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,3.1,3.2,3.3,3.2,3.2,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,13.6,13.2,12.9,11.5,9.5,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,19.3,17,15.6,14.8,14,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,16.9,16.1,15.7,15.4,15.3,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,15.5,15.7,15.6,15.7,15.9,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,10.1,9.6,9.1,9,9,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,5.3,4.9,4.7,4.6,4.6,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,2.7,2.3,2.2,2.1,2.1,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,1.4,1.4,1.6,1.5,1.4,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,1.3,1.1,0.9,1,1.3,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,0.5,0.5,0.7,0.8,0.7,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,0.8,0.7,0.5,0.4,0.3,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,0.3,0.2,0.1,0.2,0.3,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,0.1,0.1,0.2,0.2,0.1,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,,,,,0.1,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,95,193,303,412,540,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,58,125,218,321,395,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,38,65,103,164,244,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,35,72,100,117,144,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,65,120,162,207,224,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,145,258,361,432,457,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,144,292,456,617,726,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,65,154,275,438,593,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,31,67,114,176,255,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,25,48,72,98,133,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,17,35,56,77,97,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,15,32,49,62,77,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,11,26,38,56,71,
ERP_F_15,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (no.),,,6,11,19,31,43,
ERP_F_16,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (no.),,,3,6,10,16,21,
ERP_F_17,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (no.),,,,,2,3,7,
ERP_F_21,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (%),,,12.6,12.8,13,12.8,13.4,
ERP_F_22,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (%),,,7.7,8.3,9.3,9.9,9.8,
ERP_F_23,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (%),,,5,4.3,4.4,5.1,6.1,
ERP_F_24,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (%),,,4.6,4.8,4.3,3.6,3.6,
ERP_F_25,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (%),,,8.6,8,6.9,6.4,5.6,
ERP_F_26,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (%),,,19.3,17.2,15.4,13.4,11.3,
ERP_F_27,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (%),,,19.1,19.4,19.5,19.1,18,
ERP_F_28,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (%),,,8.6,10.2,11.8,13.6,14.7,
ERP_F_29,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (%),,,4.1,4.5,4.9,5.5,6.3,
ERP_F_30,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (%),,,3.3,3.2,3.1,3,3.3,
ERP_F_31,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (%),,,2.3,2.3,2.4,2.4,2.4,
ERP_F_32,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (%),,,2,2.1,2.1,1.9,1.9,
ERP_F_33,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (%),,,1.5,1.7,1.6,1.7,1.8,
ERP_F_34,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (%),,,0.8,0.7,0.8,1,1.1,
ERP_F_35,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (%),,,0.4,0.4,0.4,0.5,0.5,
ERP_F_36,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (%),,,,,0.1,0.1,0.2,
ERP_P_2,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (no.),,,189,389,617,853,1092,
ERP_P_3,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (no.),,,111,248,421,626,822,
ERP_P_4,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (no.),,,73,134,211,327,478,
ERP_P_5,Estimated resident population - Persons - year ended 30 June,Persons - 15-19 years (no.),,,96,161,220,268,318,
ERP_P_6,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (no.),,,331,486,636,743,748,
ERP_P_7,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (no.),,,521,728,937,1122,1226,
ERP_P_8,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (no.),,,474,739,1033,1334,1568,
ERP_P_9,Estimated resident population - Persons - year ended 30 June,Persons - 35-39 years (no.),,,367,589,851,1170,1467,
ERP_P_10,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (no.),,,229,332,448,595,753,
ERP_P_11,Estimated resident population - Persons - year ended 30 June,Persons - 45-49 years (no.),,,128,183,244,310,387,
ERP_P_12,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (no.),,,69,100,136,175,215,
ERP_P_13,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (no.),,,42,70,107,131,156,
ERP_P_14,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (no.),,,36,57,72,103,142,
ERP_P_15,Estimated resident population - Persons - year ended 30 June,Persons - 65-69 years (no.),,,16,25,43,67,84,
ERP_P_16,Estimated resident population - Persons - year ended 30 June,Persons - 70-74 years (no.),,,18,25,30,36,40,
ERP_P_17,Estimated resident population - Persons - year ended 30 June,Persons - 75-79 years (no.),,,5,6,5,12,25,
ERP_P_18,Estimated resident population - Persons - year ended 30 June,Persons - 80-84 years (no.),,,1,3,8,8,6,
ERP_P_19,Estimated resident population - Persons - year ended 30 June,Persons - 85 and over (no.),,,,,,,5,
