Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,6603,7292,8208,9070,9751,10000
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,1547.3,1708.7,1923.4,2125.4,2284.9,2343.3
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,3459,3826,4312,4769,5128,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,3144,3466,3896,4301,4623,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,30.3,30,29.8,30.2,30.9,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,30.1,30.5,30.9,31.4,31.9,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,30.2,30.3,30.4,30.8,31.5,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,4568,5018,5637,6233,6675,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,69.2,68.8,68.7,68.7,68.5,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,553,600,649,665,639,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,303,352,417,482,551,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,178,202,229,263,303,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,123,140,171,187,197,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,197,233,276,310,327,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,351,384,431,460,479,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,559,557,573,592,575,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,491,556,641,730,815,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,284,326,381,440,503,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,126,148,178,215,258,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,105,108,114,131,147,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,67,80,92,104,109,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,58,61,65,74,89,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,36,41,48,60,69,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,15,26,33,34,40,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,6,6,7,16,19,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,3,3,5,5,8,
