Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,18373,18917,19322,19377,19385,19475
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,3416.5,3517.6,3592.9,3603.1,3604.6,3621.4
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,9362,9687,9935,9966,9960,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,9011,9230,9387,9411,9425,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,29.8,29.5,29.3,29.2,29.3,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,29.4,29.6,29.8,30.2,30.5,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,29.5,29.6,29.6,29.8,30,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,12149,12428,12640,12597,12491,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,66.1,65.7,65.4,65,64.4,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,1260,1251,1229,1193,1143,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,983,1055,1109,1141,1179,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,575,632,699,741,804,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,417,443,456,469,480,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,625,675,714,707,671,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,872,874,888,856,800,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,1283,1211,1122,1019,908,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,1192,1240,1274,1279,1287,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,687,760,826,883,943,
