Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,14534,14678,14765,14849,14450,14212
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,1749.7,1767.1,1777.5,1787.7,1739.6,1711
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,7081,7121,7146,7161,7060,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,7453,7557,7619,7688,7390,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,39.8,39.6,39.5,39.8,40.4,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,41.9,41.8,41.5,41.6,42.1,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,40.8,40.7,40.5,40.7,41.2,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,9378,9328,9255,9189,8753,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,64.5,63.6,62.7,61.9,60.6,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,428,432,424,402,402,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,468,470,477,499,498,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,382,409,437,466,485,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,425,416,413,404,399,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,458,460,461,441,395,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,418,411,417,403,365,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,485,489,469,444,429,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,499,509,527,547,503,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,452,460,452,464,523,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,451,439,455,456,438,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,,405,397,384,405,423,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,458,441,434,409,383,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,515,495,462,457,438,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,,453,460,453,434,421,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,,319,355,378,398,403,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,,201,198,217,227,233,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,,123,131,134,159,174,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,,141,149,152,146,148,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,,6,6.1,5.9,5.6,5.7,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,,6.6,6.6,6.7,7,7.1,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,,5.4,5.7,6.1,6.5,6.9,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,,6,5.8,5.8,5.6,5.7,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,,6.5,6.5,6.5,6.2,5.6,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,,5.9,5.8,5.8,5.6,5.2,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,,6.8,6.9,6.6,6.2,6.1,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,,7,7.1,7.4,7.6,7.1,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,,6.4,6.5,6.3,6.5,7.4,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,,6.4,6.2,6.4,6.4,6.2,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,,5.7,5.6,5.4,5.7,6,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,6.5,6.2,6.1,5.7,5.4,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,7.3,7,6.5,6.4,6.2,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,,6.4,6.5,6.3,6.1,6,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,,4.5,5,5.3,5.6,5.7,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,2.8,2.8,3,3.2,3.3,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,1.7,1.8,1.9,2.2,2.5,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,,2,2.1,2.1,2,2.1,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,,366,371,377,392,401,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,,471,462,471,467,473,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,,378,410,444,464,444,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,,424,417,410,417,384,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,,430,442,438,400,373,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,,459,422,398,403,329,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,,522,543,552,535,470,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,,495,563,573,586,581,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,,486,453,463,494,508,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,,472,504,506,491,463,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,,450,427,418,438,429,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,,507,488,476,476,438,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,,567,552,547,519,482,
ERP_F_15,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (no.),,,,501,538,534,537,528,
ERP_F_16,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (no.),,,,278,311,356,399,418,
ERP_F_17,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (no.),,,,230,222,226,234,240,
ERP_F_18,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (no.),,,,151,164,162,177,176,
ERP_F_19,Estimated resident population - Females - year ended 30 June,Females - 85 and over (no.),,,,266,268,268,259,253,
ERP_F_21,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (%),,,,4.9,4.9,4.9,5.1,5.4,
ERP_F_22,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (%),,,,6.3,6.1,6.2,6.1,6.4,
ERP_F_23,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (%),,,,5.1,5.4,5.8,6,6,
ERP_F_24,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (%),,,,5.7,5.5,5.4,5.4,5.2,
ERP_F_25,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (%),,,,5.8,5.8,5.7,5.2,5,
ERP_F_26,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (%),,,,6.2,5.6,5.2,5.2,4.5,
ERP_F_27,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (%),,,,7,7.2,7.2,7,6.4,
ERP_F_28,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (%),,,,6.6,7.5,7.5,7.6,7.9,
ERP_F_29,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (%),,,,6.5,6,6.1,6.4,6.9,
ERP_F_30,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (%),,,,6.3,6.7,6.6,6.4,6.3,
ERP_F_31,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (%),,,,6,5.7,5.5,5.7,5.8,
ERP_F_32,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (%),,,,6.8,6.5,6.2,6.2,5.9,
ERP_F_33,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (%),,,,7.6,7.3,7.2,6.8,6.5,
ERP_F_34,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (%),,,,6.7,7.1,7,7,7.1,
ERP_F_35,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (%),,,,3.7,4.1,4.7,5.2,5.7,
ERP_F_36,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (%),,,,3.1,2.9,3,3,3.2,
ERP_F_37,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (%),,,,2,2.2,2.1,2.3,2.4,
ERP_F_38,Estimated resident population - Females - year ended 30 June,Females - 85 and over (%),,,,3.6,3.5,3.5,3.4,3.4,
ERP_P_2,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (no.),,,,794,803,801,794,803,
ERP_P_3,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (no.),,,,939,932,948,966,971,
ERP_P_4,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (no.),,,,760,819,881,930,929,
ERP_P_5,Estimated resident population - Persons - year ended 30 June,Persons - 15-19 years (no.),,,,849,833,823,821,783,
ERP_P_6,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (no.),,,,888,902,899,841,768,
ERP_P_7,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (no.),,,,877,833,815,806,694,
ERP_P_8,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (no.),,,,1007,1032,1021,979,899,
ERP_P_9,Estimated resident population - Persons - year ended 30 June,Persons - 35-39 years (no.),,,,994,1072,1100,1133,1084,
ERP_P_10,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (no.),,,,938,913,915,958,1031,
ERP_P_11,Estimated resident population - Persons - year ended 30 June,Persons - 45-49 years (no.),,,,923,943,961,947,901,
ERP_P_12,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (no.),,,,855,824,802,843,852,
ERP_P_13,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (no.),,,,965,929,910,885,821,
ERP_P_14,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (no.),,,,1082,1047,1009,976,920,
ERP_P_15,Estimated resident population - Persons - year ended 30 June,Persons - 65-69 years (no.),,,,954,998,987,971,949,
ERP_P_16,Estimated resident population - Persons - year ended 30 June,Persons - 70-74 years (no.),,,,597,666,734,797,821,
ERP_P_17,Estimated resident population - Persons - year ended 30 June,Persons - 75-79 years (no.),,,,431,420,443,461,473,
ERP_P_18,Estimated resident population - Persons - year ended 30 June,Persons - 80-84 years (no.),,,,274,295,296,336,350,
ERP_P_19,Estimated resident population - Persons - year ended 30 June,Persons - 85 and over (no.),,,,407,417,420,405,401,
ERP_P_21,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (%),,,,5.5,5.5,5.4,5.3,5.6,
ERP_P_22,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (%),,,,6.5,6.3,6.4,6.5,6.7,
ERP_P_23,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (%),,,,5.2,5.6,6,6.3,6.4,
ERP_P_24,Estimated resident population - Persons - year ended 30 June,Persons - 15-19 years (%),,,,5.8,5.7,5.6,5.5,5.4,
ERP_P_25,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (%),,,,6.1,6.1,6.1,5.7,5.3,
ERP_P_26,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (%),,,,6,5.7,5.5,5.4,4.8,
ERP_P_27,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (%),,,,6.9,7,6.9,6.6,6.2,
ERP_P_28,Estimated resident population - Persons - year ended 30 June,Persons - 35-39 years (%),,,,6.8,7.3,7.5,7.6,7.5,
ERP_P_29,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (%),,,,6.5,6.2,6.2,6.5,7.1,
ERP_P_30,Estimated resident population - Persons - year ended 30 June,Persons - 45-49 years (%),,,,6.4,6.4,6.5,6.4,6.2,
ERP_P_31,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (%),,,,5.9,5.6,5.4,5.7,5.9,
ERP_P_32,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (%),,,,6.6,6.3,6.2,6,5.7,
ERP_P_33,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (%),,,,7.4,7.1,6.8,6.6,6.4,
ERP_P_34,Estimated resident population - Persons - year ended 30 June,Persons - 65-69 years (%),,,,6.6,6.8,6.7,6.5,6.6,
ERP_P_35,Estimated resident population - Persons - year ended 30 June,Persons - 70-74 years (%),,,,4.1,4.5,5,5.4,5.7,
ERP_P_36,Estimated resident population - Persons - year ended 30 June,Persons - 75-79 years (%),,,,3,2.9,3,3.1,3.3,
ERP_P_37,Estimated resident population - Persons - year ended 30 June,Persons - 80-84 years (%),,,,1.9,2,2,2.3,2.4,
ERP_P_38,Estimated resident population - Persons - year ended 30 June,Persons - 85 and over (%),,,,2.8,2.8,2.8,2.7,2.8,
BD_2,Births and deaths - year ended 31 December,Births (no.),,,137,175,138,152,143,110,
BD_3,Births and deaths - year ended 31 December,Total fertility rate (births per female) (rate),,,1.47,1.51,1.52,1.53,1.41,1.36,
BD_4,Births and deaths - year ended 31 December,Deaths (no.),,,113,100,105,167,118,99,
BD_5,Births and deaths - year ended 31 December,Standardised death rate (per 1000 people) (rate),,,5.5,4.9,4.6,5.6,5.8,5.6,
MIGRATION_2,Internal and overseas migration - at 30 June,Internal arrivals (no.),,,,,,,,,1344
MIGRATION_3,Internal and overseas migration - at 30 June,Internal departures (no.),,,,,,,,,1716
MIGRATION_4,Internal and overseas migration - at 30 June,Net internal migration (no.),,,,,,,,,-372
MIGRATION_5,Internal and overseas migration - at 30 June,Overseas arrivals (no.),,,,,,,,,240
MIGRATION_6,Internal and overseas migration - at 30 June,Overseas departures (no.),,,,,,,,,104
MIGRATION_7,Internal and overseas migration - at 30 June,Net overseas migration (no.),,,,,,,,,136
CENSUS_34,Aboriginal and Torres Strait Islander Peoples - Census,Aboriginal and Torres Strait Islander Peoples (no.),32,,59,,,,,65,
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Census,Aboriginal and Torres Strait Islander Peoples (%),0.2,,0.4,,,,,0.5,
CENSUS_4,Overseas born population - Census,Born in Oceania and Antarctica (excluding Australia) (%),,,1.6,,,,,1.7,
CENSUS_5,Overseas born population - Census,Born in North-West Europe (%),,,5.4,,,,,4.3,
CENSUS_6,Overseas born population - Census,Born in Southern and Eastern Europe (%),,,3.3,,,,,3,
CENSUS_7,Overseas born population - Census,Born in North Africa and the Middle East (%),,,1,,,,,1.2,
CENSUS_8,Overseas born population - Census,Born in South-East Asia (%),,,8,,,,,8.7,
CENSUS_9,Overseas born population - Census,Born in North-East Asia (%),,,9.4,,,,,12,
CENSUS_10,Overseas born population - Census,Born in Southern and Central Asia (%),,,5.1,,,,,6.8,
CENSUS_11,Overseas born population - Census,Born in Americas (%),,,0.7,,,,,0.6,
CENSUS_12,Overseas born population - Census,Born in Sub-Saharan Africa (%),,,1.1,,,,,1.3,
CENSUS_35,Overseas born population - Census,Total born overseas (no.),,,4972,,,,,5687,
CENSUS_13,Overseas born population - Census,Total born overseas (%),,,35.7,,,,,39.7,
CENSUS_15,Religious affiliation - Census,Buddhism (%),5.4,,5.2,,,,,5.9,
CENSUS_16,Religious affiliation - Census,Christianity (%),59.3,,49.1,,,,,41,
CENSUS_17,Religious affiliation - Census,Hinduism (%),2.6,,3,,,,,4.5,
CENSUS_18,Religious affiliation - Census,Islam (%),1.1,,0.9,,,,,1.3,
CENSUS_19,Religious affiliation - Census,Judaism (%),0.1,,0.1,,,,,0.1,
CENSUS_20,Religious affiliation - Census,Other religions (%),1,,1.2,,,,,1.8,
CENSUS_40,Religious affiliation - Census,"Secular beliefs, other spiritual beliefs or no religion (%)",24.4,,33.2,,,,,39.5,
CENSUS_22,Religious affiliation - Census,Religious affiliation inadequately described or not stated (%),6.1,,7.3,,,,,5.9,
CENSUS_36,Australian citizenship - Census,Australian citizen (no.),12068,,11591,,,,,11849,
CENSUS_37,Australian citizenship - Census,Not an Australian citizen (no.),1325,,1775,,,,,2064,
CENSUS_38,Australian citizenship - Census,Australian citizenship not stated (no.),373,,556,,,,,427,
CENSUS_29,Australian citizenship - Census,Australian citizen (%),87.7,,83.3,,,,,82.6,
CENSUS_30,Australian citizenship - Census,Not an Australian citizen (%),9.6,,12.7,,,,,14.4,
CENSUS_31,Australian citizenship - Census,Australian citizenship not stated (%),2.7,,4,,,,,3,
CENSUS_39,Speaks a language other than English at home - Census,Speaks a language other than English at home (no.),3708,,4656,,,,,5626,
CENSUS_33,Speaks a language other than English at home - Census,Speaks a language other than English at home (%),26.9,,33.4,,,,,39.2,
ADFS_2,Australian Defence Force service - Persons aged 15 years and over - Census,Currently serving in the Australian Defence Force (no.),,,,,,,,13,
ADFS_3,Australian Defence Force service - Persons aged 15 years and over - Census,Previously served in the Australian Defence Force (no.),,,,,,,,240,
ADFS_4,Australian Defence Force service - Persons aged 15 years and over - Census,Currently serving in the Australian Defence Force (%),,,,,,,,0.1,
ADFS_5,Australian Defence Force service - Persons aged 15 years and over - Census,Previously served in the Australian Defence Force (%),,,,,,,,2.1,
ING_LANG1,Language - Census,Speakers of an Aboriginal or Torres Strait Islander language who identify as Aboriginal and/or Torres Strait Islander (%),0,,0,,,,,0,
ING_LANG2,Language - Census,Speaks English at home (%),100,,100,,,,,96.9,
ING_EETP1,"Engagement in employment, education or training - Census",Fully engaged (%),56.5,,59.4,,,,,,
ING_EETP2,"Engagement in employment, education or training - Census",Partially or at least partially engaged (%),13,,31.3,,,,,,
ING_EETP3,"Engagement in employment, education or training - Census",Not engaged (%),17.4,,34.4,,,,,,
ING_YR12ATT,Education - Census,Attained year 12 or equivalent or Certificate III or above (aged 20-24 years) (%),0,,75,,,,,,
ING_EMP1,Labour force status - Census,Employed (no.),17,,20,,,,,,
ING_EMP2,Labour force status - Census,% of total labour force employed,100,,100,,,,,,
ING_UNEMP1,Labour force status - Census,Unemployed (no.),3,,0,,,,,,
ING_UNEMP2,Labour force status - Census,% of total labour force unemployed,17.6,,0,,,,,,
ING_LABF,Labour force status - Census,In the labour force (no.),17,,20,,,,,,
ING_LFPR,Labour force status - Census,Labour force participation rate (%),100,,66.7,,,,,,
ING_NILF,Labour force status - Census,Not in the labour force (%),17.6,,36.7,,,,,,
ING_1564,Labour force status - Census,Total responding population aged 15-64 years (no.),17,,30,,,,,,
ING_EMP3,Labour force status - Census,% of total Census responding population employed,100,,66.7,,,,,,
