Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,3,3,3,,,
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,0.5,0.5,0.5,,,
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,2,2,2,,,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,1,1,1,,,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,44,44.8,45.5,,,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,59.5,60.5,61.5,,,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,58.5,59.5,60.5,,,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,3,3,3,,,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,100,100,100,,,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,,2,2,,,,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,,,,2,,,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,,100,100,,,,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,,,,100,,,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,,1,,,,,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,,,1,1,,,
ERP_F_32,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (%),,,,100,,,,,
ERP_F_33,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (%),,,,,100,100,,,
ERP_P_13,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (no.),,,,3,2,,,,
ERP_P_14,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (no.),,,,,1,3,,,
ERP_P_32,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (%),,,,100,66.7,,,,
ERP_P_33,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (%),,,,,33.3,100,,,
CENSUS_36,Australian citizenship - Census,Australian citizen (no.),,,6,,,,,,
CENSUS_29,Australian citizenship - Census,Australian citizen (%),,,100,,,,,,
ING_LANG1,Language - Census,Speakers of an Aboriginal or Torres Strait Islander language who identify as Aboriginal and/or Torres Strait Islander (%),0,,0,,,,,0,
ING_LANG2,Language - Census,Speaks English at home (%),0,,0,,,,,0,
ING_EETP1,"Engagement in employment, education or training - Census",Fully engaged (%),0,,0,,,,,,
ING_EETP2,"Engagement in employment, education or training - Census",Partially or at least partially engaged (%),0,,0,,,,,,
ING_EETP3,"Engagement in employment, education or training - Census",Not engaged (%),0,,0,,,,,,
ING_YR12ATT,Education - Census,Attained year 12 or equivalent or Certificate III or above (aged 20-24 years) (%),0,,0,,,,,,
ING_EMP1,Labour force status - Census,Employed (no.),0,,0,,,,,,
ING_EMP2,Labour force status - Census,% of total labour force employed,0,,0,,,,,,
ING_UNEMP1,Labour force status - Census,Unemployed (no.),0,,0,,,,,,
ING_UNEMP2,Labour force status - Census,% of total labour force unemployed,0,,0,,,,,,
ING_LABF,Labour force status - Census,In the labour force (no.),0,,0,,,,,,
ING_LFPR,Labour force status - Census,Labour force participation rate (%),0,,0,,,,,,
ING_NILF,Labour force status - Census,Not in the labour force (%),0,,0,,,,,,
ING_1564,Labour force status - Census,Total responding population aged 15-64 years (no.),0,,0,,,,,,
ING_EMP3,Labour force status - Census,% of total Census responding population employed,0,,0,,,,,,
ING_UA1,Unpaid assistance to a person with a disability - Census,Provided unpaid assistance (no.),0,,0,,,,,0,
ING_UA2,Unpaid assistance to a person with a disability - Census,Provided unpaid assistance (%),0,,0,,,,,0,
ING_UPCC1,Unpaid child care - Census,Cared for own child/children (no.),0,,0,,,,,0,
ING_UPCC2,Unpaid child care - Census,Cared for own child/children (%),0,,0,,,,,0,
ING_UPCC3,Unpaid child care - Census,Cared for other child/children (no.),0,,0,,,,,0,
ING_UPCC4,Unpaid child care - Census,Cared for other child/children (%),0,,0,,,,,0,
ING_UPCC5,Unpaid child care - Census,Total provided unpaid child care (no.),0,,0,,,,,0,
ING_UPCC6,Unpaid child care - Census,Total provided unpaid child care (%),0,,0,,,,,0,
ING_UPCC7,Unpaid child care - Census,Did not provide unpaid child care (no.),0,,0,,,,,0,
ING_UPCC8,Unpaid child care - Census,Did not provide unpaid child care (%),0,,0,,,,,0,
ING_VOLWP1,Voluntary work for an organisation or group - Census,Volunteered for an organisation or group (no.),0,,0,,,,,0,
ING_VOLWP2,Voluntary work for an organisation or group - Census,Volunteered for an organisation or group (%),0,,0,,,,,0,
ING_ASHP,Appropriately sized housing - Census,Persons living in appropriately sized dwellings (Closing the Gap measure) (%),0,,0,,,,,0,
ING_ONEBR,Appropriately sized housing - Census,Persons living in a dwelling requiring one additional bedroom (%),0,,0,,,,,0,
ING_TWOBR,Appropriately sized housing - Census,Persons living in a dwelling requiring two additional bedrooms (%),0,,0,,,,,0,
ING_THRBR,Appropriately sized housing - Census,Persons living in a dwelling requiring three additional bedrooms (%),0,,0,,,,,0,
ING_FOUBR,Appropriately sized housing - Census,Persons living in a dwelling requiring four or more additional bedrooms (%),0,,0,,,,,0,
ING_TTYPE1,Tenure type - Census,Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),0,,0,,,,,0,
ING_TTYPE3,Tenure type - Census,Owner with or without a mortgage (or being purchased under a shared equity scheme) (%),0,,0,,,,,0,
ING_TTYPE2,Tenure type - Census,Renter (no.),0,,0,,,,,0,
ING_TTYPE4,Tenure type - Census,Renter (%),0,,0,,,,,0,
CABEE_2,Number of businesses - at 30 June,Number of non-employing businesses,,,,,75,74,75,73,81
CABEE_3,Number of businesses - at 30 June,Number of employing businesses: 1-4 employees,,,,,47,42,38,41,33
