Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,8779,9108,9417,9777,10747,12300
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,29.5,30.6,31.6,32.8,36.1,41.3
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,4419,4571,4725,4888,5340,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,4360,4537,4692,4889,5407,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,37.5,36.6,36.1,35.9,36.1,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,41.1,40,38.9,38,37.7,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,39.5,38.2,37.3,36.9,36.8,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,5537,5759,5992,6222,6821,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,63.1,63.2,63.6,63.6,63.5,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,243,256,280,302,348,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,342,339,320,313,344,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,360,357,355,362,394,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,332,344,354,353,365,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,269,303,326,339,347,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,278,294,309,330,366,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,252,288,335,370,406,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,242,280,322,351,384,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,281,270,265,267,319,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,320,322,308,317,335,
