Measure Code,Parent Description,Description,2011,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,13867,13979,14087,13887,13695,13695
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,2797.2,2819.8,2841.6,2801.2,2762.5,2762.5
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,6967,7097,7216,7032,6852,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,6900,6882,6871,6855,6843,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,31.8,32,32.3,32.5,33,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,32.1,32.5,32.9,33.4,34.1,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,32,32.3,32.6,33,33.6,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,9244,9313,9393,9226,9093,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,66.7,66.6,66.7,66.4,66.4,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,682,666,650,613,577,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,637,646,652,652,649,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,565,598,607,575,541,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,452,473,470,486,484,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,446,450,478,470,465,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,492,483,480,458,418,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,666,643,623,559,520,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,626,676,730,714,681,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,506,509,510,504,502,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,439,439,439,436,441,
ERP_M_12,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (no.),,,362,390,404,396,388,
ERP_M_13,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (no.),,,329,343,360,341,332,
ERP_M_14,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (no.),,,281,267,267,269,288,
ERP_M_15,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (no.),,,191,201,224,226,222,
ERP_M_16,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (no.),,,146,153,156,167,163,
ERP_M_17,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (no.),,,71,80,84,90,107,
ERP_M_18,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (no.),,,54,52,55,48,45,
ERP_M_19,Estimated resident population - Males - year ended 30 June,Males - 85 and over (no.),,,22,28,27,28,29,
ERP_M_21,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (%),,,9.8,9.4,9,8.7,8.4,
ERP_M_22,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (%),,,9.1,9.1,9,9.3,9.5,
ERP_M_23,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (%),,,8.1,8.4,8.4,8.2,7.9,
ERP_M_24,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (%),,,6.5,6.7,6.5,6.9,7.1,
ERP_M_25,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (%),,,6.4,6.3,6.6,6.7,6.8,
ERP_M_26,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (%),,,7.1,6.8,6.7,6.5,6.1,
ERP_M_27,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (%),,,9.6,9.1,8.6,7.9,7.6,
ERP_M_28,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (%),,,9,9.5,10.1,10.2,9.9,
ERP_M_29,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (%),,,7.3,7.2,7.1,7.2,7.3,
ERP_M_30,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (%),,,6.3,6.2,6.1,6.2,6.4,
ERP_M_31,Estimated resident population - Males - year ended 30 June,Males - 50-54 years (%),,,5.2,5.5,5.6,5.6,5.7,
ERP_M_32,Estimated resident population - Males - year ended 30 June,Males - 55-59 years (%),,,4.7,4.8,5,4.8,4.8,
ERP_M_33,Estimated resident population - Males - year ended 30 June,Males - 60-64 years (%),,,4,3.8,3.7,3.8,4.2,
ERP_M_34,Estimated resident population - Males - year ended 30 June,Males - 65-69 years (%),,,2.7,2.8,3.1,3.2,3.2,
ERP_M_35,Estimated resident population - Males - year ended 30 June,Males - 70-74 years (%),,,2.1,2.2,2.2,2.4,2.4,
ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,1,1.1,1.2,1.3,1.6,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,0.8,0.7,0.8,0.7,0.7,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,0.3,0.4,0.4,0.4,0.4,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,631,584,558,542,526,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,593,591,582,574,576,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,490,503,519,526,523,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,395,397,409,416,428,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,456,461,448,410,376,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,579,557,548,537,501,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,715,706,683,658,625,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,601,607,626,647,671,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,500,516,503,486,479,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,443,432,439,451,463,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,369,352,363,364,384,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,326,349,335,326,316,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,261,263,278,298,331,
ERP_F_15,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (no.),,,237,238,226,234,227,
ERP_F_16,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (no.),,,127,135,157,179,200,
ERP_F_17,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (no.),,,93,106,106,109,108,
ERP_F_18,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (no.),,,53,48,51,56,66,
ERP_F_19,Estimated resident population - Females - year ended 30 June,Females - 85 and over (no.),,,31,37,40,42,43,
ERP_F_21,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (%),,,9.1,8.5,8.1,7.9,7.7,
ERP_F_22,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (%),,,8.6,8.6,8.5,8.4,8.4,
ERP_F_23,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (%),,,7.1,7.3,7.6,7.7,7.6,
ERP_F_24,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (%),,,5.7,5.8,6,6.1,6.3,
ERP_F_25,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (%),,,6.6,6.7,6.5,6,5.5,
ERP_F_26,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (%),,,8.4,8.1,8,7.8,7.3,
ERP_F_27,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (%),,,10.4,10.3,9.9,9.6,9.1,
ERP_F_28,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (%),,,8.7,8.8,9.1,9.4,9.8,
ERP_F_29,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (%),,,7.2,7.5,7.3,7.1,7,
ERP_F_30,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (%),,,6.4,6.3,6.4,6.6,6.8,
ERP_F_31,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (%),,,5.3,5.1,5.3,5.3,5.6,
ERP_F_32,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (%),,,4.7,5.1,4.9,4.8,4.6,
ERP_F_33,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (%),,,3.8,3.8,4,4.3,4.8,
ERP_F_34,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (%),,,3.4,3.5,3.3,3.4,3.3,
ERP_F_35,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (%),,,1.8,2,2.3,2.6,2.9,
ERP_F_36,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (%),,,1.3,1.5,1.5,1.6,1.6,
ERP_F_37,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (%),,,0.8,0.7,0.7,0.8,1,
ERP_F_38,Estimated resident population - Females - year ended 30 June,Females - 85 and over (%),,,0.4,0.5,0.6,0.6,0.6,
ERP_P_2,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (no.),,,1313,1250,1208,1155,1103,
ERP_P_3,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (no.),,,1230,1237,1234,1226,1225,
ERP_P_4,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (no.),,,1055,1101,1126,1101,1064,
ERP_P_5,Estimated resident population - Persons - year ended 30 June,Persons - 15-19 years (no.),,,847,870,879,902,912,
ERP_P_6,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (no.),,,902,911,926,880,841,
ERP_P_7,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (no.),,,1071,1040,1028,995,919,
ERP_P_8,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (no.),,,1381,1349,1306,1217,1145,
ERP_P_9,Estimated resident population - Persons - year ended 30 June,Persons - 35-39 years (no.),,,1227,1283,1356,1361,1352,
ERP_P_10,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (no.),,,1006,1025,1013,990,981,
ERP_P_11,Estimated resident population - Persons - year ended 30 June,Persons - 45-49 years (no.),,,882,871,878,887,904,
ERP_P_12,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (no.),,,731,742,767,760,772,
ERP_P_13,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (no.),,,655,692,695,667,648,
ERP_P_14,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (no.),,,542,530,545,567,619,
ERP_P_15,Estimated resident population - Persons - year ended 30 June,Persons - 65-69 years (no.),,,428,439,450,460,449,
ERP_P_16,Estimated resident population - Persons - year ended 30 June,Persons - 70-74 years (no.),,,273,288,313,346,363,
ERP_P_17,Estimated resident population - Persons - year ended 30 June,Persons - 75-79 years (no.),,,164,186,190,199,215,
ERP_P_18,Estimated resident population - Persons - year ended 30 June,Persons - 80-84 years (no.),,,107,100,106,104,111,
ERP_P_19,Estimated resident population - Persons - year ended 30 June,Persons - 85 and over (no.),,,53,65,67,70,72,
ERP_P_21,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (%),,,9.5,8.9,8.6,8.3,8.1,
ERP_P_22,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (%),,,8.9,8.8,8.8,8.8,8.9,
ERP_P_23,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (%),,,7.6,7.9,8,7.9,7.8,
ERP_P_24,Estimated resident population - Persons - year ended 30 June,Persons - 15-19 years (%),,,6.1,6.2,6.2,6.5,6.7,
ERP_P_25,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (%),,,6.5,6.5,6.6,6.3,6.1,
ERP_P_26,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (%),,,7.7,7.4,7.3,7.2,6.7,
ERP_P_27,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (%),,,10,9.7,9.3,8.8,8.4,
ERP_P_28,Estimated resident population - Persons - year ended 30 June,Persons - 35-39 years (%),,,8.8,9.2,9.6,9.8,9.9,
ERP_P_29,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (%),,,7.3,7.3,7.2,7.1,7.2,
ERP_P_30,Estimated resident population - Persons - year ended 30 June,Persons - 45-49 years (%),,,6.4,6.2,6.2,6.4,6.6,
ERP_P_31,Estimated resident population - Persons - year ended 30 June,Persons - 50-54 years (%),,,5.3,5.3,5.4,5.5,5.6,
ERP_P_32,Estimated resident population - Persons - year ended 30 June,Persons - 55-59 years (%),,,4.7,5,4.9,4.8,4.7,
ERP_P_33,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (%),,,3.9,3.8,3.9,4.1,4.5,
ERP_P_34,Estimated resident population - Persons - year ended 30 June,Persons - 65-69 years (%),,,3.1,3.1,3.2,3.3,3.3,
ERP_P_35,Estimated resident population - Persons - year ended 30 June,Persons - 70-74 years (%),,,2,2.1,2.2,2.5,2.7,
ERP_P_36,Estimated resident population - Persons - year ended 30 June,Persons - 75-79 years (%),,,1.2,1.3,1.3,1.4,1.6,
ERP_P_37,Estimated resident population - Persons - year ended 30 June,Persons - 80-84 years (%),,,0.8,0.7,0.8,0.7,0.8,
ERP_P_38,Estimated resident population - Persons - year ended 30 June,Persons - 85 and over (%),,,0.4,0.5,0.5,0.5,0.5,
BD_2,Births and deaths - year ended 31 December,Births (no.),,278,243,268,185,209,170,
BD_3,Births and deaths - year ended 31 December,Total fertility rate (births per female) (rate),,2.21,2.1,2.18,1.94,1.88,1.64,
BD_4,Births and deaths - year ended 31 December,Deaths (no.),,38,57,31,37,34,41,
BD_5,Births and deaths - year ended 31 December,Standardised death rate (per 1000 people) (rate),,4.4,5.7,5.3,5.1,3.7,4.1,
MIGRATION_2,Internal and overseas migration - at 30 June,Internal arrivals (no.),,,,,,,,1485
MIGRATION_3,Internal and overseas migration - at 30 June,Internal departures (no.),,,,,,,,1704
MIGRATION_4,Internal and overseas migration - at 30 June,Net internal migration (no.),,,,,,,,-219
MIGRATION_5,Internal and overseas migration - at 30 June,Overseas arrivals (no.),,,,,,,,177
MIGRATION_6,Internal and overseas migration - at 30 June,Overseas departures (no.),,,,,,,,77
MIGRATION_7,Internal and overseas migration - at 30 June,Net overseas migration (no.),,,,,,,,100
CENSUS_34,Aboriginal and Torres Strait Islander Peoples - Census,Aboriginal and Torres Strait Islander Peoples (no.),147,171,,,,,248,
CENSUS_2,Aboriginal and Torres Strait Islander Peoples - Census,Aboriginal and Torres Strait Islander Peoples (%),1.4,1.3,,,,,1.8,
CENSUS_4,Overseas born population - Census,Born in Oceania and Antarctica (excluding Australia) (%),,3.4,,,,,3,
CENSUS_5,Overseas born population - Census,Born in North-West Europe (%),,4.8,,,,,4.1,
CENSUS_6,Overseas born population - Census,Born in Southern and Eastern Europe (%),,2.5,,,,,2.4,
CENSUS_7,Overseas born population - Census,Born in North Africa and the Middle East (%),,1.6,,,,,1.5,
CENSUS_8,Overseas born population - Census,Born in South-East Asia (%),,5.2,,,,,8.7,
CENSUS_9,Overseas born population - Census,Born in North-East Asia (%),,0.9,,,,,1.2,
CENSUS_10,Overseas born population - Census,Born in Southern and Central Asia (%),,6.9,,,,,11.9,
CENSUS_11,Overseas born population - Census,Born in Americas (%),,0.8,,,,,0.9,
CENSUS_12,Overseas born population - Census,Born in Sub-Saharan Africa (%),,1.5,,,,,1.8,
