Measure Code,Parent Description,Description,2011,2015,2016,2017,2018,2019,2020,2021,2022
ERP_P_20,Estimated resident population - year ended 30 June,Estimated resident population (no.),,,,15797,15980,16077,16048,15653,15641
ERP_21,Estimated resident population - year ended 30 June,Population density (persons/km2),,,,2810.9,2843.4,2860.7,2855.5,2785.2,2783.1
ERP_M_20,Estimated resident population - year ended 30 June,Estimated resident population - males (no.),,,,7696,7790,7842,7827,7635,
ERP_F_20,Estimated resident population - year ended 30 June,Estimated resident population - females (no.),,,,8101,8190,8235,8221,8018,
ERP_19,Estimated resident population - year ended 30 June,Median age - males (years),,,,35.6,35.7,35.7,36,36.5,
ERP_22,Estimated resident population - year ended 30 June,Median age - females (years),,,,36.7,36.9,37,37.4,37.8,
ERP_23,Estimated resident population - year ended 30 June,Median age - persons (years),,,,36.2,36.3,36.4,36.7,37.2,
ERP_18,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (no.),,,,11121,11240,11312,11293,11006,
ERP_17,Estimated resident population - year ended 30 June,Working age population (aged 15-64 years) (%),,,,70.4,70.3,70.4,70.4,70.3,
ERP_M_2,Estimated resident population - Males - year ended 30 June,Males - 0-4 years (no.),,,,646,654,642,636,562,
ERP_M_3,Estimated resident population - Males - year ended 30 June,Males - 5-9 years (no.),,,,487,513,518,502,528,
ERP_M_4,Estimated resident population - Males - year ended 30 June,Males - 10-14 years (no.),,,,379,401,440,462,459,
ERP_M_5,Estimated resident population - Males - year ended 30 June,Males - 15-19 years (no.),,,,339,345,356,342,348,
ERP_M_6,Estimated resident population - Males - year ended 30 June,Males - 20-24 years (no.),,,,459,448,447,432,376,
ERP_M_7,Estimated resident population - Males - year ended 30 June,Males - 25-29 years (no.),,,,682,671,659,626,567,
ERP_M_8,Estimated resident population - Males - year ended 30 June,Males - 30-34 years (no.),,,,754,751,759,764,753,
ERP_M_9,Estimated resident population - Males - year ended 30 June,Males - 35-39 years (no.),,,,778,783,767,758,740,
ERP_M_10,Estimated resident population - Males - year ended 30 June,Males - 40-44 years (no.),,,,736,720,709,700,679,
ERP_M_11,Estimated resident population - Males - year ended 30 June,Males - 45-49 years (no.),,,,602,619,626,634,628,
