Address,Prices,Bedroom,Bathroom,Parking,Type
"6/144 Hawthorn Road, 
CAULFIELD NORTH VIC 3161",$550.00,1,1,1,Apartment / Unit / Flat
"3/3 Carinya Crescent, 
CAULFIELD NORTH VIC 3161",$550 per week,2,1,1,Apartment / Unit / Flat
"1/29 Kambrook Road, 
CAULFIELD NORTH VIC 3161",$550.00,1,1,1,Apartment / Unit / Flat
"310/70 Batesford Road, 
CHADSTONE VIC 3148",$550,2,1, ,Apartment / Unit / Flat
"11 Bolwarra Street, 
CHADSTONE VIC 3148",$550 Per Week,3,2,2,House
"5/13-17 Fowler Street, 
CHELSEA VIC 3196",$550,3,1,1,Apartment / Unit / Flat
"18/9-11 Latrobe Street, 
CHELTENHAM VIC 3192",$550.00,2,1,1,Apartment / Unit / Flat
"2.2B/29 Browns Road, 
CLAYTON VIC 3168",$550,2,2,1,Apartment / Unit / Flat
"3/44 Mallawa Street, 
CLAYTON VIC 3168",$550,3,1,2,Apartment / Unit / Flat
"74 Jaguar Drive, 
CLAYTON VIC 3168",$550,3,1,2,House
"31 Brushbox Court, 
CLAYTON VIC 3168",$550,3,1,1,Townhouse
"2.2B/1408 Centre Road, 
CLAYTON SOUTH VIC 3169",$550,2,2,1,Apartment / Unit / Flat
"2.2B/20 Lomandra Dr, 
CLAYTON SOUTH VIC 3169",$550,2,2,1,Apartment / Unit / Flat
"1/57 Bevan Avenue, 
CLAYTON SOUTH VIC 3169",$550,3,1,1,Apartment / Unit / Flat
"5/60 Fenwick Street, 
CLIFTON HILL VIC 3068",$550 PW / $2390 PCM,2,1,1,Apartment / Unit / Flat
"199 Morison Road, 
CLYDE VIC 3978",$550,3,2,2,House
"56 Kamona Street, 
CLYDE VIC 3978",$550 Per Week,4,2,2,House
"10 Frome Road, 
CLYDE VIC 3978",$550,4,2,2,House
"12 Cadenza Street, 
CLYDE VIC 3978",$550 per week,4,2,2,House
"27 Fathom Way, 
CLYDE NORTH VIC 3978",$550,3,2,2,House
