Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2023,June,1 North West Metro, Banyule,"7,862","6,112.3"
2023,June,1 North West Metro, Brimbank,"17,122","8,732.1"
2023,June,1 North West Metro, Darebin,"13,244","8,639.1"
2023,June,1 North West Metro, Hobsons Bay,"5,647","6,078.5"
2023,June,1 North West Metro, Hume,"18,257","7,049.4"
2023,June,1 North West Metro, Maribyrnong,"9,264","10,283.4"
2023,June,1 North West Metro, Melbourne,"34,509","20,139.2"
2023,June,1 North West Metro, Melton,"12,186","5,985.8"
2023,June,1 North West Metro, Merri-bek,"12,608","7,121.7"
2023,June,1 North West Metro, Moonee Valley,"7,908","6,335.3"
2023,June,1 North West Metro, Nillumbik,"1,633","2,580.8"
2023,June,1 North West Metro, Whittlesea,"12,921","5,318.1"
2023,June,1 North West Metro, Wyndham,"18,340","5,719.6"
2023,June,1 North West Metro, Yarra,"12,578","13,232.0"
2023,June,1 North West Metro,Total,"184,079","7,938.8"
2023,June,2 Eastern, Alpine,439,"3,315.3"
2023,June,2 Eastern, Bass Coast,"2,787","6,518.2"
2023,June,2 Eastern, Baw Baw,"4,384","7,203.5"
2023,June,2 Eastern, Benalla,"1,476","10,136.7"
2023,June,2 Eastern, Boroondara,"7,709","4,463.2"
2023,June,2 Eastern, East Gippsland,"5,035","10,186.9"
2023,June,2 Eastern, Greater Shepparton,"9,238","13,299.4"
2023,June,2 Eastern, Indigo,707,"4,024.6"
2023,June,2 Eastern, Knox,"9,927","6,165.8"
2023,June,2 Eastern, Latrobe,"11,672","14,921.2"
2023,June,2 Eastern, Manningham,"4,453","3,488.4"
2023,June,2 Eastern, Mansfield,471,"4,468.6"
2023,June,2 Eastern, Maroondah,"7,591","6,489.6"
2023,June,2 Eastern, Mitchell,"3,982","7,295.5"
2023,June,2 Eastern, Moira,"2,361","7,684.6"
2023,June,2 Eastern, Monash,"12,785","6,453.3"
2023,June,2 Eastern, Murrindindi,791,"5,083.5"
2023,June,2 Eastern, South Gippsland,"1,979","6,382.2"
2023,June,2 Eastern, Strathbogie,548,"4,685.2"
2023,June,2 Eastern, Towong,209,"3,365.7"
2023,June,2 Eastern, Wangaratta,"2,665","8,843.6"
2023,June,2 Eastern, Wellington,"4,492","9,745.2"
2023,June,2 Eastern, Whitehorse,"8,852","5,053.0"
2023,June,2 Eastern, Wodonga,"3,966","8,956.7"
2023,June,2 Eastern, Yarra Ranges,"7,373","4,658.4"
2023,June,2 Eastern,Total,"115,892","6,672.5"
2023,June,3 Southern Metro, Bayside,"5,411","5,259.8"
2023,June,3 Southern Metro, Cardinia,"6,806","5,343.2"
2023,June,3 Southern Metro, Casey,"22,075","5,666.8"
2023,June,3 Southern Metro, Frankston,"13,642","9,614.8"
2023,June,3 Southern Metro, Glen Eira,"7,468","4,870.0"
2023,June,3 Southern Metro, Greater Dandenong,"18,829","11,696.0"
2023,June,3 Southern Metro, Kingston,"12,040","7,447.7"
2023,June,3 Southern Metro, Mornington Peninsula,"9,513","5,562.8"
2023,June,3 Southern Metro, Port Phillip,"12,961","11,940.8"
2023,June,3 Southern Metro, Stonnington,"11,413","10,447.0"
2023,June,3 Southern Metro,Total,"120,158","7,387.6"
2023,June,4 Western, Ararat,"1,388","11,781.2"
2023,June,4 Western, Ballarat,"11,440","9,687.2"
2023,June,4 Western, Buloke,417,"6,850.2"
2023,June,4 Western, Campaspe,"3,816","9,866.4"
2023,June,4 Western, Central Goldfields,"1,143","8,398.9"
2023,June,4 Western, Colac-Otway,"1,557","7,008.4"
2023,June,4 Western, Corangamite,692,"4,338.7"
2023,June,4 Western, Gannawarra,868,"8,265.2"
2023,June,4 Western, Glenelg,"1,607","8,025.9"
2023,June,4 Western, Golden Plains,668,"2,593.4"
2023,June,4 Western, Greater Bendigo,"11,106","8,929.7"
2023,June,4 Western, Greater Geelong,"21,401","7,572.5"
2023,June,4 Western, Hepburn,700,"4,199.8"
2023,June,4 Western, Hindmarsh,268,"4,798.3"
2023,June,4 Western, Horsham,"2,587","12,682.2"
2023,June,4 Western, Loddon,440,"5,675.8"
2023,June,4 Western, Macedon Ranges,"2,231","4,215.9"
2023,June,4 Western, Mildura,"7,796","13,557.8"
2023,June,4 Western, Moorabool,"2,378","6,032.9"
2023,June,4 Western, Mount Alexander,956,"4,653.6"
2023,June,4 Western, Moyne,604,"3,430.1"
2023,June,4 Western, Northern Grampians,999,"8,405.8"
2023,June,4 Western, Pyrenees,379,"4,941.3"
2023,June,4 Western, Queenscliffe,65,"1,946.8"
2023,June,4 Western, Southern Grampians,"1,203","7,370.1"
2023,June,4 Western, Surf Coast,"1,130","2,851.9"
2023,June,4 Western, Swan Hill,"2,180","10,283.9"
2023,June,4 Western, Warrnambool,"3,105","8,694.4"
2023,June,4 Western, West Wimmera,146,"3,735.6"
2023,June,4 Western, Yarriambiack,458,"7,165.7"
2023,June,4 Western,Total,"83,728","7,795.0"
2023,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"2,417",
2023,June,Justice Institutions and Immigration Facilities,Total,"2,417",
2023,June,Unincorporated Vic, Unincorporated Vic,101,
2023,June,Unincorporated Vic,Total,101,
2022,June,1 North West Metro, Banyule,"7,320","5,751.6"
2022,June,1 North West Metro, Brimbank,"16,369","8,474.9"
2022,June,1 North West Metro, Darebin,"12,543","8,343.9"
2022,June,1 North West Metro, Hobsons Bay,"6,211","6,770.5"
2022,June,1 North West Metro, Hume,"17,288","6,840.7"
2022,June,1 North West Metro, Maribyrnong,"8,493","9,718.2"
2022,June,1 North West Metro, Melbourne,"34,886","21,829.3"
2022,June,1 North West Metro, Melton,"12,091","6,269.2"
2022,June,1 North West Metro, Merri-bek,"11,366","6,513.4"
2022,June,1 North West Metro, Moonee Valley,"7,818","6,358.1"
2022,June,1 North West Metro, Nillumbik,"1,833","2,908.1"
2022,June,1 North West Metro, Whittlesea,"11,964","5,053.1"
2022,June,1 North West Metro, Wyndham,"16,297","5,280.6"
2022,June,1 North West Metro, Yarra,"12,423","13,486.0"
2022,June,1 North West Metro,Total,"176,902","7,850.9"
2022,June,2 Eastern, Alpine,546,"4,144.2"
2022,June,2 Eastern, Bass Coast,"2,962","7,096.1"
2022,June,2 Eastern, Baw Baw,"4,171","7,047.8"
2022,June,2 Eastern, Benalla,"1,319","9,128.0"
2022,June,2 Eastern, Boroondara,"7,050","4,161.5"
2022,June,2 Eastern, East Gippsland,"4,916","10,055.8"
2022,June,2 Eastern, Greater Shepparton,"8,265","12,000.3"
2022,June,2 Eastern, Indigo,666,"3,826.0"
2022,June,2 Eastern, Knox,"9,096","5,706.3"
2022,June,2 Eastern, Latrobe,"10,735","13,832.7"
2022,June,2 Eastern, Manningham,"3,767","2,980.9"
2022,June,2 Eastern, Mansfield,420,"4,070.6"
2022,June,2 Eastern, Maroondah,"7,195","6,221.6"
2022,June,2 Eastern, Mitchell,"3,593","6,967.4"
2022,June,2 Eastern, Moira,"1,972","6,457.1"
2022,June,2 Eastern, Monash,"11,275","5,790.8"
2022,June,2 Eastern, Murrindindi,746,"4,861.5"
