,School_Name,Address_Postcode,X,Y
4,Warrandyte Primary School,3113,145.21398,-37.742675
11,Cheltenham Primary School,3192,145.054635,-37.968608
13,Newport Lakes Primary School,3015,144.878345,-37.838424
23,Doncaster Primary School,3108,145.129673,-37.786804
25,Eltham Primary School,3095,145.1478042,-37.72498353
29,Flemington Primary School,3031,144.933923,-37.780674
30,Footscray Primary School,3011,144.892669,-37.798383
32,Sandringham Primary School,3191,145.02342,-37.951358
35,Hawthorn West Primary School,3122,145.018377,-37.820112
36,Heidelberg Primary School,3084,145.067799,-37.754705
51,Fitzroy Primary School,3065,144.981511,-37.799603
54,Burwood East Primary School,3151,145.151807,-37.859734
57,Essendon Primary School,3040,144.921042,-37.753095
58,Coburg Primary School,3058,144.968211,-37.741303
70,South Yarra Primary School,3141,144.985619,-37.841353
75,Thomastown Primary School,3074,145.011495,-37.682271
80,Werribee Primary School,3030,144.658736,-37.906865
92,Clayton North Primary School,3168,145.122666,-37.911944
105,Preston South Primary School,3072,145.007447,-37.747867
108,Mordialloc Beach Primary School,3195,145.088809,-38.005582
119,Lilydale Primary School,3140,145.3540681,-37.75367357
125,Camberwell Primary School,3124,145.058048,-37.832684
126,Greenvale Primary School,3059,144.886181,-37.639828
135,Westmeadows Primary School,3049,144.895697,-37.675649
137,Diamond Creek Primary School,3089,145.1516539,-37.67184929
140,Vermont Primary School,3133,145.194296,-37.837359
142,Balwyn Primary School,3103,145.081378,-37.813938
143,Scoresby Primary School,3179,145.227501,-37.89395
145,Wandin Yallock Primary School,3139,145.43595,-37.790251
148,Mickleham Primary School,3064,144.876546,-37.563495
153,Kew Primary School,3101,145.033386,-37.803639
163,Moorabbin Primary School,3189,145.039587,-37.94202
178,Glen Iris Primary School,3146,145.065894,-37.860483
185,Williamstown Primary School,3016,144.900409,-37.863798
196,Carlton North Primary School,3054,144.973028,-37.791064
198,Woori Yallock Primary School,3139,145.5326881,-37.77737209
207,Lower Plenty Primary School,3093,145.115498,-37.726172
214,Clifton Hill Primary School,3068,144.989245,-37.792308
225,Northcote Primary School,3070,144.99688,-37.771758
226,North Melbourne Primary School,3051,144.950637,-37.798733
227,Dandenong Primary School,3175,145.219821,-37.987917
229,Williamstown North Primary School,3016,144.891757,-37.855902
236,Cairnlea Park Primary School,3023,144.787998,-37.758855
243,Frankston Primary School,3199,145.1240309,-38.14755735
246,St Kilda Primary School,3182,144.989019,-37.870223
251,Fitzroy North Primary School,3068,144.984149,-37.78502
253,Preston Primary School,3072,145.01031,-37.730548
